stop_id,stop_name,total_trips,total_flow,Median_Age,pop_density,Percent_Male,average_flow
75,84 MASSACHUSETTS AVE,644,2397.4,20.3,3155.6999979412744,0.45,3.7226708074534165
77,MASSACHUSETTS AVE @ MARLBOROU,644,1531.6,33.2,23020.599944969017,0.492,2.378260869565217
79,MASSACHUSETTS AVE @ NEWBURY S,644,6765.9,33.1,9675.199945253977,0.472,10.506055900621117
80,MASSACHUSETTS AVE OPP CHRISTI,644,2132.2,32.1,31751.400392849344,0.468,3.310869565217391
82,MASSACHUSETTS AVE @ HUNTINGTO,644,2189.1,68.3,22450.599976284793,0.47,3.3992236024844718
84,MASSACHUSETTS AVE @ TREMONT S,644,1138.8,32.3,20195.399942073007,0.462,1.7683229813664596
87,MASSACHUSETTS AVE @ TREMONT S,670,1244.6,29.2,17246.299945982824,0.491,1.8576119402985074
89,MASSACHUSETTS AVE @ ST BOTOLP,670,2643.7,71.2,12309.499856514265,0.439,3.9458208955223877
91,MASSACHUSETTS AVE @ CLEARWAY,670,2278.9,62.0,9690.500001532804,0.482,3.4013432835820896
93,MASSACHUSETTS AVE @ NEWBURY S,670,7460.7,33.1,9675.199945253977,0.472,11.135373134328358
95,MASSACHUSETTS AVE @ BEACON ST,670,1457.5,33.2,23020.599944969017,0.492,2.175373134328358
97,77 MASSACHUSETTS AVE,670,2812.1,20.3,3155.6999979412744,0.45,4.197164179104478
99,MASSACHUSETTS AVE @ ALBANY ST,670,2104.8,30.4,10017.09999903774,0.521,3.1414925373134333
101,MASSACHUSETTS AVE @ SIDNEY ST,670,2292.3,30.4,10017.09999903774,0.521,3.4213432835820896
102,MASSACHUSETTS AVE @ PROSPECT,670,5223.6,30.4,10017.09999903774,0.521,7.796417910447762
104,MASSACHUSETTS AVE @ INMAN ST,670,1153.2,33.4,14077.100064165232,0.571,1.7211940298507464
106,MASSACHUSETTS AVE @ HANCOCK S,670,820.5,33.4,14077.100064165232,0.571,1.2246268656716417
107,MASSACHUSETTS AVE @ DANA ST,670,1006.8,33.4,14077.100064165232,0.571,1.5026865671641791
108,MASSACHUSETTS AVE @ TROWBRIDG,670,1573.5,30.8,15281.09995869978,0.509,2.348507462686567
109,MASSACHUSETTS AVE @ BOW ST,670,1285.8,26.8,9303.600029514459,0.452,1.9191044776119401
110,MASSACHUSETTS AVE OPP HOLYOKE,2118,17600.5,21.7,16734.89990972897,0.515,8.309962228517469
111,MT VERNON ST @ SOUTH POINT DR,349,1304.6,25.8,2264.9000010928635,0.477,3.7381088825214897
113,PORTLAND ST @ CAUSEWAY ST,80,198.0,30.8,4981.600001278297,0.519,2.475
114,CAUSEWAY ST @ NORTH STATION,90,276.5,30.8,4981.600001278297,0.519,3.0722222222222224
117,CONGRESS ST @ HAYMARKET STA,1083,9631.5,32.7,3863.000003707977,0.56,8.893351800554017
118,CAUSEWAY ST @ MEDFORD ST,40,46.0,30.8,4981.600001278297,0.519,1.15
121,JFK@UMASS STATION BUSWAY,1060,5594.9,32.5,2908.9000003108104,0.533,5.278207547169811
122,COLUMBIA RD @ BUTTONWOOD ST,392,211.6,33.3,10011.300021188601,0.521,0.539795918367347
123,COLUMBIA RD OPP POND ST,445,428.5,33.3,10011.300021188601,0.521,0.9629213483146067
124,MASSACHUSETTS AVE @ BOSTON ST,675,1375.8,28.4,1706.9000001533643,0.528,2.038222222222222
125,MASSACHUSETTS AVE @ CLAPP ST,675,322.8,28.4,1706.9000001533643,0.528,0.4782222222222222
128,MASSACHUSETTS AVE OPP MAGAZIN,566,1018.4,36.0,2270.0000000427294,0.609,1.7992932862190811
131,MASSACHUSETTS AVE OPP NEWMARK,332,434.4,36.0,2270.0000000427294,0.609,1.308433734939759
133,MASSACHUSETTS AVE OPP CLAPP S,671,218.8,28.4,1706.9000001533643,0.528,0.3260804769001491
134,MASSACHUSETTS AVE @ COLUMBIA,671,1138.8,28.4,1706.9000001533643,0.528,1.6971684053651266
135,COLUMBIA RD @ POND ST,435,387.0,33.3,10011.300021188601,0.521,0.8896551724137931
136,COLUMBIA RD @ BUTTONWOOD ST,382,255.7,30.8,5191.600010689996,0.539,0.669371727748691
137,CHARLES PARK RD @ RIVERMOOR S,90,93.0,46.3,1998.6999992348135,0.5,1.0333333333333334
138,MT VERNON ST @ BAY SIDE EXPO,329,68.8,26.0,5146.899991136546,0.478,0.20911854103343464
139,263 MT VERNON ST @ ST CHRISTO,329,473.1,25.8,2264.9000010928635,0.477,1.4379939209726444
140,MT VERNON ST @ PAUL A. DEVER,329,750.4,25.8,2264.9000010928635,0.477,2.280851063829787
141,ALEWIFE STATION BUSWAY,923,10341.9,30.5,6430.099997126466,0.488,11.20465872156013
142,MT VERNON ST OPP SOUTH POINT,329,1068.6,25.8,2264.9000010928635,0.477,3.248024316109422
143,BOYLSTON ST @ CLARENDON ST,1283,1153.1,34.9,5314.299995026327,0.466,0.8987529228371005
144,BOYLSTON ST @ BERKELEY ST,521,1050.0,34.9,5314.299995026327,0.466,2.015355086372361
145,ARLINGTON ST @ SAINT JAMES AV,521,877.0,42.8,8035.399960531652,0.484,1.6833013435700577
146,ARLINGTON ST @ ISABELLA ST,521,301.9,42.8,8035.399960531652,0.484,0.5794625719769674
147,HERALD ST @ TREMONT ST,521,452.3,54.8,12044.399959823322,0.468,0.8681381957773513
148,HERALD ST @ WASHINGTON ST,521,1105.0,54.8,12044.399959823322,0.468,2.1209213051823417
150,BROADWAY STATION,1466,10923.2,34.7,7615.800004078961,0.494,7.451023192360164
151,W BROADWAY @ BROADWAY STATION,809,5370.5,34.7,7615.800004078961,0.494,6.638442521631644
153,W BROADWAY @ B ST,526,603.5,29.8,11201.800000051684,0.421,1.147338403041825
154,W BROADWAY @ D ST,526,1116.6,29.8,11201.800000051684,0.421,2.1228136882129274
155,W BROADWAY @ E ST,526,908.8,30.9,14295.599954724425,0.514,1.7277566539923954
156,W BROADWAY @ F ST,526,1418.7,29.9,11222.699997585512,0.45,2.697148288973384
157,W BROADWAY @ DORCHESTER ST,526,995.7,29.9,11222.699997585512,0.45,1.8929657794676806
158,442 W BROADWAY,541,1209.2,29.9,11222.699997585512,0.45,2.235120147874307
159,W BROADWAY @ F ST,541,987.6,29.0,19052.299973573558,0.503,1.8255083179297598
160,W BROADWAY @ E ST,541,687.6,30.9,14295.599954724425,0.514,1.2709796672828098
161,W BROADWAY @ D ST,541,919.3,30.9,14295.599954724425,0.514,1.699260628465804
162,W BROADWAY @ C ST,541,299.0,34.7,7615.800004078961,0.494,0.5526802218114603
