stop_id,stop_name,total_trips,total_flow,median_age,pop_density,percent_male,average_flow,,geometry
422,TALBOT AVE @ BERNARD ST,655,905.3,33.6,4336.000007,0.414,1.382137405,,POINT (229902.56639999896 893707.8106999993)
423,TALBOT AVE @ TALBOT STATION,655,964.4,30.6,11043.00001,0.472,1.472366412,,POINT (237044.83579999954 893708.134300001)
424,TALBOT AVE @ COLONIAL AVE,655,1206.5,30.6,11043.00001,0.472,1.841984733,,POINT (236507.35639999807 893709.2465000004)
425,TALBOT AVE @ NORFOLK ST,655,2119.6,31,8639.200008,0.459,3.236030534,,POINT (233289.186999999 893709.5626999997)
426,TALBOT AVE @ LITHGOW ST,1643,3650.3,33.4,10502.29997,0.453,2.221728545,,POINT (229306.33540000021 893709.9957000017)
428,TALBOT AVE @ WELLES AVE,1643,1745.1,37.6,9758.400013,0.462,1.062142422,,POINT (239454.58190000057 893715.4213999994)
430,TALBOT AVE @ DORCHESTER AVE,1643,3050,37.6,9758.400013,0.462,1.856360316,,POINT (233435.96869999915 893715.8126999997)
431,355 NORFOLK ST OPP WITHINGTON,231,131.6,31,8639.200008,0.459,0.56969697,,POINT (226202.66480000317 893719.5954999998)
432,NORFOLK ST @ DARLINGTON ST,231,264.1,31,8639.200008,0.459,1.143290043,,POINT (234447.43069999665 893723.2872000001)
435,NORFOLK ST @ MILTON AVE,231,302.3,35.4,7335.500017,0.484,1.308658009,,POINT (226196.71580000222 893724.2170000002)
436,NORFOLK ST @ CHARLES RD,231,162.2,35.4,7335.500017,0.484,0.702164502,,POINT (227828.36460000277 893725.7694000006)
437,WASHINGTON ST @ WELLES AVE,231,55.8,33.4,10502.29997,0.453,0.241558442,,POINT (233458.68720000237 893726.5626999997)
438,227 NORFOLK ST OPP STANTON ST,231,155.6,35.4,7335.500017,0.484,0.673593074,,POINT (236509.5627000034 893730.5174000002)
439,247 NORFOLK ST OPP CAPEN ST,231,195.4,36.2,7024.100023,0.454,0.845887446,,POINT (234424.95750000328 893732.0850000009)
440,NORFOLK ST OPP NELSON ST,231,194.6,36.2,7024.100023,0.454,0.842424242,,POINT (221830.81949999928 893741.0850000009)
441,NORFOLK ST @ WILLOWWOOD ST,231,135.1,31.5,8981.10001,0.444,0.584848485,,POINT (229680.27700000256 893741.9081000015)
443,NORFOLK ST @ MORTON ST,231,581.9,31.5,8981.10001,0.444,2.519047619,,POINT (229680.27700000256 893741.9081000015)
457,WASHINGTON ST @ KENWOOD ST,749,2830,33.4,9999.199936,0.458,3.778371162,,POINT (235306.5028000027 893746.1119999997)
458,WASHINGTON ST @ MELVILLE AVE,749,1449.6,33.4,9999.199936,0.458,1.935380507,,POINT (229200.1745999977 893748.8383000009)
460,WASHINGTON ST @ PARK ST,749,1780.5,36.8,7285.699974,0.405,2.377169559,,POINT (229769.74379999936 893755.3511000015)
461,WASHINGTON ST OPP ALGONQUIN S,749,1104.2,34.3,9889.100041,0.458,1.47423231,,POINT (229182.09049999714 893757.0403999984)
463,WASHINGTON ST @ BOWDOIN ST,749,2606.9,35.1,9186.600021,0.472,3.480507343,,POINT (229780.46989999712 893757.7111000009)
465,WASHINGTON ST @ VASSAR ST,749,858.4,31.7,10000.69999,0.468,1.146061415,,POINT (236109.77660000324 893767.7672999986)
467,WASHINGTON STREET @ FOUR CORN,749,2263.3,30.1,9883.500048,0.442,3.02176235,,POINT (229965.4055000022 893776.0210000016)
468,WASHINGTON ST @ COLUMBIA RD,912,3399.9,35.4,14685.80004,0.439,3.727960526,,POINT (236114.12070000172 893787.0747000016)
469,WASHINGTON ST @ JOE L SMITH W,749,1111.1,35.4,14685.80004,0.439,1.483444593,,POINT (235303.53549999744 893791.3101000004)
470,WASHINGTON ST @ BLUE HILL AVE,749,1767.8,30.6,8449.19997,0.423,2.360213618,,POINT (225623.21989999712 893795.5350000001)
471,WASHINGTON ST @ BLUE HILL AVE,912,2684.8,35.4,14685.80004,0.439,2.943859649,,POINT (227649.15579999983 893816.0003999993)
472,WASHINGTON ST @ JEREMIAH BURK,912,891.9,35.4,14685.80004,0.439,0.977960526,,POINT (233968.42159999907 893818.1251999997)
